TransactionID,Timestamp,CustomerID,Name,Customer_Location,Amount,Merchant,Category,Transaction_IP,Primary_IP,Is_Fraud,Fraud_Reason
3c3965a9-0776-4fca-baf6-b34e751b693a,2025-01-18 07:00:00,6c5e6b2b,Jessica Ballard,Simmonsfurt,7851.29,Mclaughlin-Vasquez,Tech,6.229.150.145,6.229.150.145,0,None
943c823c-80a5-449c-ac52-d489a9f4cb47,2025-10-23 07:00:00,57f0d82c,Catherine Allen,Port Karentown,1802.98,Rivera and Sons,Groceries,10.238.72.68,10.238.72.68,0,None
912ae90f-93ad-4d35-894a-d6eb84cb9c12,2025-04-21 18:00:00,3457b104,Patricia Marshall,North Robertmouth,678.7,Reyes PLC,Jewelry,137.46.70.62,137.46.70.62,0,None
62f0a65a-d400-4cd3-872e-b1c075145c3b,2025-03-02 16:00:00,b9d839e8,Robert Chavez,Josephshire,5376.87,"Shaffer, Reed and Mclaughlin",Jewelry,209.116.132.253,209.116.132.253,0,None
41942bf0-0234-4ec7-b266-72832127157a,2025-06-15 20:00:00,d17cd964,Elijah Hill,East Megan,5733.83,"Phillips, Williams and Gordon",Jewelry,102.138.125.230,102.138.125.230,0,None
66fefa24-eae5-4b9e-8d54-f271735afb1d,2025-07-22 06:00:00,b460e847,Cynthia Thompson,Rossside,2755.49,Hill Inc,Travel,51.30.95.78,51.30.95.78,0,None
ba690bb1-9bbf-4dc9-933b-6ebb4eabaaf9,2025-08-22 03:00:00,0862e428,Lynn Simmons,Cathyburgh,2743.46,Williams-Nichols,Utilities,185.83.3.238,185.83.3.238,0,None
61334243-bf94-4539-a4fa-22940ffbd649,2025-05-27 05:00:00,54e7a5f4,Marvin Cardenas,South Matthewtown,9294.23,"Walker, Tucker and Townsend",Jewelry,73.55.87.149,73.55.87.149,0,None
c435a15f-41c4-4261-9cbb-13630fda6940,2025-04-13 21:00:00,da2662cf,Paul Fox,Ericksonburgh,9592.09,Alexander Inc,Jewelry,92.219.53.219,92.219.53.219,0,None
b76c7cf4-f06e-4609-b411-b7ff9dc51454,2025-11-16 19:00:00,bfa8e9e2,Brian Kennedy,East Danafort,3063.67,"Salinas, Hart and Martinez",Travel,178.27.52.79,178.27.52.79,0,None
5ff7e1b0-71fa-4042-a88f-4430565d10f5,2025-08-13 04:00:00,d8df02c3,Adam Ramirez,Aguirreport,6360.91,Duncan Inc,Utilities,204.135.186.98,204.135.186.98,0,None
cebada25-4970-449f-8940-1da7e5ec8099,2025-10-17 10:00:00,3d2bedab,Dennis Johnson,Frankborough,702.41,Hill and Sons,Jewelry,199.252.78.130,199.252.78.130,0,None
6ff2eeda-7e13-47fb-8a7d-c0807ab9884a,2025-01-29 18:00:00,4f44bcf9,Zachary Hahn,North Luis,5472.33,Smith PLC,Travel,6.92.124.91,6.92.124.91,0,None
47d4f7d9-503c-4bd5-bde1-8ea33286e17a,2025-03-29 04:00:00,3a3a1515,Michael Wilson,South Cathy,6812.64,"Curtis, Bernard and Dixon",Travel,85.106.6.222,85.106.6.222,0,None
52ce4b78-256d-4680-bdcf-632c9c6dd3a4,2025-10-18 00:00:00,e88b7591,Tammy Mcdonald,New Jeffrey,1041.08,"Kelly, White and Richards",Travel,45.151.148.185,45.151.148.185,0,None
d6f60abe-ad80-4850-8a6a-7e1fae2fecb0,2025-11-30 21:00:00,e31aec9c,Kenneth Russell,Gwendolynburgh,5729.48,Turner-Shaffer,Tech,63.53.154.41,63.53.154.41,0,None
21c9c65d-bb12-4b90-89c6-18a0af92f565,2025-07-18 13:00:00,2a60c349,Ashley Becker,Hinesmouth,5630.75,Mathis-Juarez,Jewelry,17.232.143.250,17.232.143.250,0,None
1f095a40-420b-45fa-aeab-581fef17419d,2025-11-26 19:00:00,ad09b407,Erin Norman,Bennettfort,3592.84,"Riggs, Phillips and Owen",Groceries,217.67.95.155,217.67.95.155,0,None
ed15fca1-2940-4aa1-b31e-2d0566d97748,2025-10-02 19:00:00,63c90969,Eric Austin,Sherryberg,567.14,"Webb, Clark and Foster",Travel,96.87.64.200,96.87.64.200,0,None
bc147587-8911-4f48-9d32-c2d55aef1ffc,2025-08-13 04:00:00,82abc919,Phillip Smith,Lake Michelle,528.76,"Hernandez, Griffith and Sanders",Travel,73.255.237.101,73.255.237.101,0,None
7e4c1cc1-1eda-44ab-947d-f97b9b916a4e,2025-11-01 02:00:00,54e7a5f4,Marvin Cardenas,South Matthewtown,7556.25,Gilmore LLC,Groceries,73.55.87.149,73.55.87.149,0,None
54da97f1-55e3-4ead-8118-c197bccc3707,2025-04-25 05:00:00,f9a4e609,Brian Johnson,Acostaborough,4198.34,"Lewis, Pennington and Rocha",Jewelry,2.5.177.37,2.5.177.37,0,None
cb950b44-cc03-4008-9da0-a8c28d96a699,2025-08-01 21:00:00,e9abc9ba,Anthony Rodriguez,Shawside,8254.14,Padilla-Miller,Jewelry,209.154.207.28,209.154.207.28,0,None
61b0f6bf-d4ae-460e-954a-e0eac5dfe119,2025-01-20 05:00:00,aa615802,Stephen Frost,Hughesbury,2759.53,"May, Jackson and Simon",Tech,79.54.56.52,79.54.56.52,0,None
d50a0e52-91cf-414e-a99a-2f5d10e35a7e,2025-01-04 15:00:00,d17cd964,Elijah Hill,East Megan,3696.28,"Rosales, Fisher and Griffith",Jewelry,102.138.125.230,102.138.125.230,0,None
93aaef39-e229-47ae-9396-9ae3bcc8c8fb,2025-12-17 01:00:00,db918499,Amanda Berg,Lake Christophermouth,3105.87,Fletcher LLC,Travel,36.164.210.85,36.164.210.85,0,None
0db03f4f-e47a-4795-ad4b-2e93bb24e10a,2025-07-28 20:00:00,affc83d3,Terri Newman,West Katherinehaven,4366.84,"Charles, Henry and Weeks",Groceries,189.225.141.172,189.225.141.172,0,None
b112ca64-56f4-4015-94a2-c89173cdc7e3,2025-06-20 23:00:00,c5b99f6f,Jennifer Moore,South Erik,8451.54,Buck Ltd,Tech,74.78.146.11,74.78.146.11,0,None
31ad3bbe-3462-405d-861b-66c97c97d077,2025-03-04 12:00:00,bb4a9c21,Kayla Wilson,Dustintown,1182.35,Reed-White,Utilities,163.129.9.115,163.129.9.115,0,None
65a57247-8d33-43c9-a0c1-17f1ecc619c7,2025-11-11 14:00:00,f9b82829,Mary Thomas,South Danielchester,6423.67,Ramos-Martin,Groceries,173.113.225.20,173.113.225.20,0,None
50315008-e942-4e7b-8621-a97c1b75997c,2025-02-16 04:00:00,ef4aec11,Steven Romero,New Donna,837.64,Higgins and Sons,Travel,211.130.135.238,211.130.135.238,0,None
842e4021-8000-4d5e-88d9-7b1157505cdc,2025-06-12 20:00:00,c053172d,Karen Wilson,Rebeccabury,1822.3,Wright Ltd,Utilities,78.193.38.207,78.193.38.207,0,None
3d6c5e14-babc-4e73-b2cc-078cb4cac695,2025-03-20 04:00:00,f2bbcdbe,Brittany Bryant,Lucasport,2903.94,Taylor Inc,Travel,5.85.136.217,5.85.136.217,0,None
190671b1-d325-4e0d-b1de-15eb15649804,2025-08-01 01:00:00,3c3691a5,Jennifer Johnson,East Mario,343.1,Sharp-Moore,Travel,19.149.179.97,19.149.179.97,0,None
1de6bab1-792d-4ef7-b970-dd44bfab599b,2025-12-29 00:00:00,e1b9841b,Angela Underwood,East Joshua,8937.08,Rodriguez LLC,Groceries,69.14.17.32,69.14.17.32,0,None
ded49c1e-eacc-4b4c-a232-cbc6e41cea0b,2025-03-11 09:00:00,e9223be0,Jacob Love,Port Misty,7711.95,"Owens, Walsh and Lopez",Groceries,223.125.205.200,223.125.205.200,0,None
7ff811f2-3c31-4ab7-8f05-73f3e7989fd7,2025-08-27 12:00:00,bfa8e9e2,Brian Kennedy,East Danafort,8867.46,"Smith, Ryan and Hooper",Groceries,178.27.52.79,178.27.52.79,0,None
65306eb4-a3de-476f-9ef3-8075523d7626,2025-02-09 10:00:00,9ef4f810,Sean Adams,Craigbury,430.68,Butler-Roberts,Travel,83.124.33.1,83.124.33.1,0,None
fb6ddbd2-27d8-4bcc-bd02-2ec80ae217e1,2025-09-19 05:00:00,cfe98433,Mary Padilla,East Robert,7743.83,Goodman-Fernandez,Utilities,109.82.179.3,109.82.179.3,0,None
a654fd64-dff3-4ff5-9ce3-f31bd05a7488,2025-09-09 21:00:00,48852061,Dr. Joseph Cummings MD,Karenfort,2961.86,Liu-Small,Utilities,163.232.209.128,163.232.209.128,0,None
5ac38c46-b881-4a10-ab1e-0b6025fe0e58,2025-05-09 14:00:00,eeeab534,Shannon Mcguire,Stanleyshire,2232.72,Mills-Beard,Tech,107.211.79.13,107.211.79.13,0,None
a2cf3cc0-aea6-43dc-8d9c-82590f810fe6,2025-04-17 20:00:00,44939a39,Lauren Wilkerson,West Heather,8715.78,"Martinez, Collins and Irwin",Tech,75.191.138.172,75.191.138.172,0,None
